status	path	detail
MATCH	games/site/morskoy-boy/index.html	web-exact
MATCH	games/site/morskoy-boy/manifest.files.json	web-exact
MATCH	games/site/morskoy-boy/play/assets/css/app.css	web-exact
MATCH	games/site/morskoy-boy/play/assets/css/archer-theme.css	web-exact
MATCH	games/site/morskoy-boy/play/assets/css/features.css	web-exact
MATCH	games/site/morskoy-boy/play/assets/js/app.js	web-exact
MATCH	games/site/morskoy-boy/play/assets/js/features.js	web-exact
MATCH	games/site/morskoy-boy/play/assets/js/game-core.js	web-exact
MATCH	games/site/morskoy-boy/play/assets/js/history.js	web-exact
MATCH	games/site/morskoy-boy/play/assets/js/lan-client.js	web-exact
MATCH	games/site/morskoy-boy/play/assets/js/ocean-3d.js	web-exact
MATCH	games/site/morskoy-boy/play/assets/js/renderer.js	web-exact
MATCH	games/site/morskoy-boy/play/assets/vendor/three.min.js	web-exact
MATCH	games/site/morskoy-boy/play/bigmap/bigmap.css	web-exact
MATCH	games/site/morskoy-boy/play/bigmap/bigmap.js	web-exact
MATCH	games/site/morskoy-boy/play/bigmap/index.html	web-exact
MATCH	games/site/morskoy-boy/play/index.html	web-exact
MATCH	games/site/morskoy-boy/play/updates.json	web-exact
MATCH	games/site/morskoy-boy/release.json	web-exact
MATCH	games/site/tetris/index.html	web-exact
MATCH	games/site/tetris/manifest.files.json	web-exact
MATCH	games/site/tetris/play/assets/css/app.css	web-exact
MATCH	games/site/tetris/play/assets/js/app.js	web-exact
MATCH	games/site/tetris/play/assets/js/config.js	web-exact
MATCH	games/site/tetris/play/index.html	web-exact
MATCH	games/site/tetris/release.json	web-exact
MATCH	portal/.gitignore	web-exact
MATCH	portal/EXTERNAL-PROJECTS.txt	local-empty
MATCH	portal/about/index.html	web-exact
MATCH	portal/api/README.md	web-exact
MATCH	portal/assets/css/brand.css	web-exact
MATCH	portal/assets/css/launcher.css	web-exact
MATCH	portal/assets/css/layout.css	web-exact
MATCH	portal/assets/css/tokens.css	web-exact
MATCH	portal/assets/icons/apple-touch-icon.png	web-exact
MATCH	portal/assets/icons/brand-mark.svg	web-exact
MATCH	portal/assets/icons/favicon.svg	web-exact
MATCH	portal/assets/icons/pwa-192.png	web-exact
MATCH	portal/assets/icons/pwa-512.png	web-exact
MATCH	portal/assets/images/morskoy-boy.webp	web-exact
MATCH	portal/assets/images/projects/archer-3d-constructor.svg	web-exact
MATCH	portal/assets/images/projects/crec.svg	web-exact
MATCH	portal/assets/images/projects/dom-svistka-3d.svg	web-exact
MATCH	portal/assets/images/projects/pixel-platformer.svg	web-exact
MATCH	portal/assets/images/projects/tetris.svg	web-exact
MATCH	portal/assets/js/analytics.js	web-exact
MATCH	portal/assets/js/pwa.js	web-exact
MATCH	portal/assets/js/site.js	web-exact
MATCH	portal/data/statuses.json	web-exact
MATCH	portal/data/version-policy.json	web-exact
MATCH	portal/external-link-pending/index.html	local-empty
MATCH	portal/games/pixel-platformer/index.html	web-exact
MATCH	portal/games/pixel-platformer/manifest.files.json	web-exact
MATCH	portal/games/pixel-platformer/release.json	web-exact
MATCH	portal/launcher/index.html	web-exact
MATCH	portal/offline.html	web-exact
MATCH	portal/projects/archer-3d-constructor/index.html	web-exact
MATCH	portal/projects/archer-3d-constructor/manifest.files.json	web-exact
MATCH	portal/projects/archer-3d-constructor/release.json	web-exact
MATCH	portal/robots.txt	web-exact
MATCH	portal/status/index.html	web-exact
MATCH	portal/sw.js	web-exact
MATCH	portal/updates/feed.xml	web-exact
MISS	games/site/morskoy-boy/downloads/latest/manifest.json	expected=ce74b88a799ace5db3738763ed4eed304267b46ebc98ebdde6fb9dcd6d653241:237; got=-:-; FETCH:HTTP Error 404: Not Found
MISS	games/site/tetris/downloads/latest/manifest.json	expected=b0e7bb1cc3fb220047d5c1aedd5ad9af46dbba2f90c01e6d225cace49bf2a95b:222; got=-:-; FETCH:HTTP Error 404: Not Found
MISS	portal/VERSION	expected=3cae3b181de64aae5c035555d706b5ccedd5e1a6c1bb7fb3f0ce7a56037cb61d:7; got=6d9c9b7df68c570c4ef8903a1a0533c68dc468f2d35ab9fb0ee1e8bb1bf87a19:8; MISMATCH
MISS	portal/api/health.json	expected=95ef0ef38067fd55d4fcf2babca494c50cd96c6047c7e3c3d2cb3f0201b5b513:175; got=e366533fa52fdec8ed91137188087794317f76ae4dc0a627ff48fb66584c54d1:175; MISMATCH
MISS	portal/api/releases.json	expected=09a74607b63dc001cb459d4fd5cfcd9b0af61e1524c9dbfd7a99103b7d2d90cb:2765; got=59c78d321370c624f0623b7533a508ee24857e8fc07537c187ae9d75107207fa:2679; MISMATCH
MISS	portal/assets/css/components.css	expected=a935fb53b932df9c3090239fa5985dabc07822d46833e525bf0d239ad1fa2f00:8874; got=280bdf1f5474e5e62a7d57f1d9f8364c65146163f8e49a789904e26df997c71f:11547; MISMATCH
MISS	portal/assets/css/pages.css	expected=d70b38534bdc24a76079a9aa4f205d93d9c555502d3b021151302480ab3ed32f:953; got=72113bac0b84f64844d128aa39baef69c7df04fb5b1b7dbd7607047646f05a40:1043; MISMATCH
